,Left_Context,Match,Right_Context,Merged_Context,Edited_Sentence,Edited_Parsing,Edited_Length,Edited_Targets,Edited_Targets_POS,Edited_branching,Edited_Targets_Branching,Edited_Entropy,Edited_Entropy_Cluster,Edited_Entropy_Markov,Edited_JS_Distance_Cluster,Translated_Sentence,Translated_Parsing,Translated_Length,Translated_branching,Translated_Targets_Branching,Translated_Target_Noun_Branching,Translated_Entropy,Translated_Entropy_Cluster,Translated_Entropy_Markov,Translated_JS_Distance_Cluster
0,. A potem do pokoju,weszła[wejść:praet:sg:f:perf]kobieta[kobieta:subst:sg:nom:f],", którą Zuzanna już znała",". A potem do pokoju weszła kobieta , którą Zuzanna już znała","A potem do pokoju weszła kobieta , którą Zuzanna już znała.","[('A', 'weszła', 'cc'), ('potem', 'weszła', 'advmod'), ('do', 'pokoju', 'case'), ('pokoju', 'weszła', 'obl'), ('weszła', 'weszła', 'ROOT'), ('kobieta', 'weszła', 'nsubj'), (',', 'znała', 'punct'), ('którą', 'znała', 'obj'), ('Zuzanna', 'znała', 'nsubj'), ('już', 'znała', 'advmod:emph'), ('znała', 'kobieta', 'acl:relcl'), ('.', 'weszła', 'punct')]",11,"('weszła', 'kobieta')","('[wejść:praet:sg:f:perf]', '[kobieta:subst:sg:nom:f]')","{'A': 0, 'potem': 0, 'do': 0, 'pokoju': 1, 'weszła': 5, 'kobieta': 1, ',': 0, 'którą': 0, 'Zuzanna': 0, 'już': 0, 'znała': 4, '.': 0}","({weszła: 5, kobieta: 1})",0.958364645046943,4,-1750.506051233681,11.0,And then a woman Zuzanna already knew entered the room.,"[('And', 'knew', 'cc'), ('then', 'knew', 'advmod'), ('a', 'woman', 'det'), ('woman', 'knew', 'nsubj'), ('Zuzanna', 'woman', 'appos'), ('already', 'knew', 'advmod'), ('knew', 'knew', 'ROOT'), ('entered', 'knew', 'xcomp'), ('the', 'room', 'det'), ('room', 'entered', 'dobj'), ('.', 'knew', 'punct')]",10,"{'And': 0, 'then': 0, 'a': 0, 'woman': 2, 'Zuzanna': 0, 'already': 0, 'knew': 6, 'entered': 1, 'the': 0, 'room': 1, '.': 0}","{'entered': 1, 'knew': 6, 'woman': 2}",{'woman': 2},0.0137315493222466,2,0.0,3
1,"w kącie, aż tu",weszła[wejść:praet:sg:f:perf]kobieta[kobieta:subst:sg:nom:f],z ukłonem i mówi:,"w kącie, aż tu weszła kobieta z ukłonem i mówi:",Nagle weszła kobieta z ukłonem i mówi...,"[('Nagle', 'weszła', 'advmod'), ('weszła', 'weszła', 'ROOT'), ('kobieta', 'weszła', 'nsubj'), ('z', 'ukłonem', 'case'), ('ukłonem', 'kobieta', 'nmod'), ('i', 'mówi', 'cc'), ('mówi', 'weszła', 'conj'), ('.', 'mówi', 'punct'), ('.', '.', 'punct'), ('.', '.', 'punct')]",7,"('weszła', 'kobieta')","('[wejść:praet:sg:f:perf]', '[kobieta:subst:sg:nom:f]')","{'Nagle': 0, 'weszła': 3, 'kobieta': 1, 'z': 0, 'ukłonem': 1, 'i': 0, 'mówi': 2, '.': 0}","({weszła: 3, kobieta: 1})",1.0693038033957196,4,-303.4162291051199,2.0,Suddenly a woman entered with a bow and said...,"[('Suddenly', 'entered', 'advmod'), ('a', 'woman', 'det'), ('woman', 'entered', 'nsubj'), ('entered', 'entered', 'ROOT'), ('with', 'entered', 'prep'), ('a', 'bow', 'det'), ('bow', 'with', 'pobj'), ('and', 'entered', 'cc'), ('said', 'entered', 'conj'), ('...', 'entered', 'punct')]",9,"{'Suddenly': 0, 'a': 0, 'woman': 1, 'entered': 6, 'with': 1, 'bow': 1, 'and': 0, 'said': 0, '...': 0}","{'entered': 6, 'woman': 1}",{'woman': 1},0.0135640846049353,2,-0.0153200771396436,7
2,. Zza bocznych drzwi zaraz,weszła[wejść:praet:sg:f:perf]kobieta[kobieta:subst:sg:nom:f],"na wysokim obcasie, niosąc",". Zza bocznych drzwi zaraz weszła kobieta na wysokim obcasie, niosąc","Zza bocznych drzwi zaraz weszła kobieta na wysokim obcasie, niosąc aktówkę pod pachą.","[('Zza', 'drzwi', 'case'), ('bocznych', 'drzwi', 'amod'), ('drzwi', 'weszła', 'obl'), ('zaraz', 'weszła', 'advmod'), ('weszła', 'weszła', 'ROOT'), ('kobieta', 'weszła', 'nsubj'), ('na', 'obcasie', 'case'), ('wysokim', 'obcasie', 'amod'), ('obcasie', 'weszła', 'obl:arg'), (',', 'niosąc', 'punct'), ('niosąc', 'weszła', 'advcl'), ('aktówkę', 'niosąc', 'obj'), ('pod', 'pachą', 'case'), ('pachą', 'aktówkę', 'nmod'), ('.', 'weszła', 'punct')]",13,"('weszła', 'kobieta')","('[wejść:praet:sg:f:perf]', '[kobieta:subst:sg:nom:f]')","{'Zza': 0, 'bocznych': 0, 'drzwi': 2, 'zaraz': 0, 'weszła': 6, 'kobieta': 0, 'na': 0, 'wysokim': 0, 'obcasie': 2, ',': 0, 'niosąc': 2, 'aktówkę': 1, 'pod': 0, 'pachą': 1, '.': 0}","({weszła: 6, kobieta: 0})",0.651208110399597,2,-273.4176035197601,7.0,"A woman in high heels suddenly entered from behind a side door, carrying a briefcase under her arm.","[('A', 'woman', 'det'), ('woman', 'entered', 'nsubj'), ('in', 'woman', 'prep'), ('high', 'heels', 'amod'), ('heels', 'in', 'pobj'), ('suddenly', 'entered', 'advmod'), ('entered', 'entered', 'ROOT'), ('from', 'entered', 'prep'), ('behind', 'from', 'prep'), ('a', 'door', 'det'), ('side', 'door', 'compound'), ('door', 'behind', 'pobj'), (',', 'entered', 'punct'), ('carrying', 'entered', 'advcl'), ('a', 'briefcase', 'det'), ('briefcase', 'carrying', 'dobj'), ('under', 'carrying', 'prep'), ('her', 'arm', 'poss'), ('arm', 'under', 'pobj'), ('.', 'entered', 'punct')]",18,"{'A': 0, 'woman': 2, 'in': 1, 'high': 0, 'heels': 1, 'suddenly': 0, 'entered': 6, 'from': 1, 'behind': 1, 'a': 0, 'side': 0, 'door': 2, ',': 0, 'carrying': 2, 'briefcase': 1, 'under': 1, 'her': 0, 'arm': 1, '.': 0}","{'entered': 6, 'woman': 2}",{'woman': 2},0.3478552124367809,0,0.0001898848738304,7
3,stronę drzwi. Do komnaty,weszła[wejść:praet:sg:f:perf]kobieta[kobieta:subst:sg:nom:f],"w fioletowej sukni, połyskującej","stronę drzwi. Do komnaty weszła kobieta w fioletowej sukni, połyskującej",Do komnaty weszła kobieta w fioletowej sukni.,"[('Do', 'komnaty', 'case'), ('komnaty', 'weszła', 'obl:arg'), ('weszła', 'weszła', 'ROOT'), ('kobieta', 'weszła', 'nsubj'), ('w', 'sukni', 'case'), ('fioletowej', 'sukni', 'amod'), ('sukni', 'kobieta', 'nmod'), ('.', 'weszła', 'punct')]",7,"('weszła', 'kobieta')","('[wejść:praet:sg:f:perf]', '[kobieta:subst:sg:nom:f]')","{'Do': 0, 'komnaty': 1, 'weszła': 3, 'kobieta': 1, 'w': 0, 'fioletowej': 0, 'sukni': 2, '.': 0}","({weszła: 3, kobieta: 1})",0.1851920050024686,1,-716.3617940481906,6.0,A woman in a purple dress entered the room.,"[('A', 'woman', 'det'), ('woman', 'entered', 'nsubj'), ('in', 'woman', 'prep'), ('a', 'dress', 'det'), ('purple', 'dress', 'amod'), ('dress', 'in', 'pobj'), ('entered', 'entered', 'ROOT'), ('the', 'room', 'det'), ('room', 'entered', 'dobj'), ('.', 'entered', 'punct')]",9,"{'A': 0, 'woman': 2, 'in': 1, 'a': 0, 'purple': 0, 'dress': 2, 'entered': 3, 'the': 0, 'room': 1, '.': 0}","{'entered': 3, 'woman': 2}",{'woman': 2},0.5551489954186949,0,-3.344222477029227,3
4,. Zza bocznych drzwi zaraz,weszła[wejść:praet:sg:f:perf]kobieta[kobieta:subst:sg:nom:f],"na wysokim obcasie, niosąc",". Zza bocznych drzwi zaraz weszła kobieta na wysokim obcasie, niosąc",Zza bocznych drzwi zaraz weszła kobieta na wysokim obcasie.,"[('Zza', 'drzwi', 'case'), ('bocznych', 'drzwi', 'amod'), ('drzwi', 'weszła', 'obl'), ('zaraz', 'weszła', 'advmod'), ('weszła', 'weszła', 'ROOT'), ('kobieta', 'weszła', 'nsubj'), ('na', 'obcasie', 'case'), ('wysokim', 'obcasie', 'amod'), ('obcasie', 'weszła', 'obl'), ('.', 'weszła', 'punct')]",9,"('weszła', 'kobieta')","('[wejść:praet:sg:f:perf]', '[kobieta:subst:sg:nom:f]')","{'Zza': 0, 'bocznych': 0, 'drzwi': 2, 'zaraz': 0, 'weszła': 5, 'kobieta': 0, 'na': 0, 'wysokim': 0, 'obcasie': 2, '.': 0}","({weszła: 5, kobieta: 0})",0.3380710727356436,1,-273.4176035197601,7.0,A woman in high heels suddenly entered from behind a side door.,"[('A', 'woman', 'det'), ('woman', 'entered', 'nsubj'), ('in', 'woman', 'prep'), ('high', 'heels', 'amod'), ('heels', 'in', 'pobj'), ('suddenly', 'entered', 'advmod'), ('entered', 'entered', 'ROOT'), ('from', 'entered', 'prep'), ('behind', 'from', 'prep'), ('a', 'door', 'det'), ('side', 'door', 'compound'), ('door', 'behind', 'pobj'), ('.', 'entered', 'punct')]",12,"{'A': 0, 'woman': 2, 'in': 1, 'high': 0, 'heels': 1, 'suddenly': 0, 'entered': 4, 'from': 1, 'behind': 1, 'a': 0, 'side': 0, 'door': 2, '.': 0}","{'entered': 4, 'woman': 2}",{'woman': 2},0.5461241616841076,0,0.0001898848738304,7
5,"szepnąć, ale do kantoru",weszła[wejść:praet:sg:f:perf]kobieta[kobieta:subst:sg:nom:f],", czworo dzieci wpychając przed","szepnąć, ale do kantoru weszła kobieta , czworo dzieci wpychając przed","Do kantoru weszła kobieta, czworo dzieci wpychając przed sobą.","[('Do', 'kantoru', 'case'), ('kantoru', 'weszła', 'obl'), ('weszła', 'weszła', 'ROOT'), ('kobieta', 'weszła', 'nsubj'), (',', 'dzieci', 'punct'), ('czworo', 'dzieci', 'nummod:gov'), ('dzieci', 'kobieta', 'conj'), ('wpychając', 'weszła', 'advcl'), ('przed', 'sobą', 'case'), ('sobą', 'wpychając', 'obl:arg'), ('.', 'weszła', 'punct')]",9,"('weszła', 'kobieta')","('[wejść:praet:sg:f:perf]', '[kobieta:subst:sg:nom:f]')","{'Do': 0, 'kantoru': 1, 'weszła': 4, 'kobieta': 1, ',': 0, 'czworo': 0, 'dzieci': 2, 'wpychając': 1, 'przed': 0, 'sobą': 1, '.': 0}","({weszła: 4, kobieta: 1})",1.3056746352549706,0,0.0411910056884968,11.0,"A woman entered the office, pushing four children in front of her.","[('A', 'woman', 'det'), ('woman', 'entered', 'nsubj'), ('entered', 'entered', 'ROOT'), ('the', 'office', 'det'), ('office', 'entered', 'dobj'), (',', 'entered', 'punct'), ('pushing', 'entered', 'advcl'), ('four', 'children', 'nummod'), ('children', 'pushing', 'dobj'), ('in', 'pushing', 'prep'), ('front', 'in', 'pobj'), ('of', 'front', 'prep'), ('her', 'of', 'pobj'), ('.', 'entered', 'punct')]",12,"{'A': 0, 'woman': 1, 'entered': 5, 'the': 0, 'office': 1, ',': 0, 'pushing': 2, 'four': 0, 'children': 1, 'in': 1, 'front': 1, 'of': 1, 'her': 0, '.': 0}","{'entered': 5, 'woman': 1}",{'woman': 1},0.8013123656190095,3,0.0358092351554741,3
6,na schodach. Do pokoju,weszła[wejść:praet:sg:f:perf]kobieta[kobieta:subst:sg:nom:f],"o białych włosach, w","na schodach. Do pokoju weszła kobieta o białych włosach, w","Do pokoju weszła kobieta o białych włosach, w ciemnej sukience.","[('Do', 'pokoju', 'case'), ('pokoju', 'weszła', 'obl'), ('weszła', 'weszła', 'ROOT'), ('kobieta', 'weszła', 'nsubj'), ('o', 'włosach', 'case'), ('białych', 'włosach', 'amod'), ('włosach', 'kobieta', 'nmod'), (',', 'sukience', 'punct'), ('w', 'sukience', 'case'), ('ciemnej', 'sukience', 'amod'), ('sukience', 'włosach', 'conj'), ('.', 'weszła', 'punct')]",10,"('weszła', 'kobieta')","('[wejść:praet:sg:f:perf]', '[kobieta:subst:sg:nom:f]')","{'Do': 0, 'pokoju': 1, 'weszła': 3, 'kobieta': 1, 'o': 0, 'białych': 0, 'włosach': 3, ',': 0, 'w': 0, 'ciemnej': 0, 'sukience': 3, '.': 0}","({weszła: 3, kobieta: 1})",0.8640255703871398,4,-113.56813323659064,6.0,A woman with white hair and a dark dress entered the room.,"[('A', 'woman', 'det'), ('woman', 'entered', 'nsubj'), ('with', 'woman', 'prep'), ('white', 'hair', 'amod'), ('hair', 'with', 'pobj'), ('and', 'woman', 'cc'), ('a', 'dress', 'det'), ('dark', 'dress', 'amod'), ('dress', 'woman', 'conj'), ('entered', 'entered', 'ROOT'), ('the', 'room', 'det'), ('room', 'entered', 'dobj'), ('.', 'entered', 'punct')]",12,"{'A': 0, 'woman': 4, 'with': 1, 'white': 0, 'hair': 1, 'and': 0, 'a': 0, 'dark': 0, 'dress': 2, 'entered': 3, 'the': 0, 'room': 1, '.': 0}","{'entered': 3, 'woman': 4}",{'woman': 4},0.5281484324584864,0,-1.2262236410040346,3
7,"w kącie, aż tu",weszła[wejść:praet:sg:f:perf]kobieta[kobieta:subst:sg:nom:f],z ukłonem i mówi:,"w kącie, aż tu weszła kobieta z ukłonem i mówi:","Czekała w kącie, aż tu weszła kobieta z ukłonem i mówi...","[('Czekała', 'Czekała', 'ROOT'), ('w', 'kącie', 'case'), ('kącie', 'Czekała', 'obl'), (',', 'weszła', 'punct'), ('aż', 'weszła', 'advmod:emph'), ('tu', 'weszła', 'advmod'), ('weszła', 'Czekała', 'advcl'), ('kobieta', 'weszła', 'nsubj'), ('z', 'ukłonem', 'case'), ('ukłonem', 'kobieta', 'nmod'), ('i', 'mówi', 'cc'), ('mówi', 'weszła', 'conj'), ('.', 'Czekała', 'punct'), ('.', '.', 'punct'), ('.', '.', 'punct')]",11,"('weszła', 'kobieta')","('[wejść:praet:sg:f:perf]', '[kobieta:subst:sg:nom:f]')","{'Czekała': 3, 'w': 0, 'kącie': 1, ',': 0, 'aż': 0, 'tu': 0, 'weszła': 5, 'kobieta': 1, 'z': 0, 'ukłonem': 1, 'i': 0, 'mówi': 1, '.': 0}","({weszła: 5, kobieta: 1})",1.649040600576721,0,-304.5910482129649,4.0,She was waiting in the corner until a woman came in with a bow and said...,"[('She', 'waiting', 'nsubj'), ('was', 'waiting', 'aux'), ('waiting', 'waiting', 'ROOT'), ('in', 'waiting', 'prep'), ('the', 'corner', 'det'), ('corner', 'in', 'pobj'), ('until', 'came', 'mark'), ('a', 'woman', 'det'), ('woman', 'came', 'nsubj'), ('came', 'waiting', 'advcl'), ('in', 'came', 'prt'), ('with', 'came', 'prep'), ('a', 'bow', 'det'), ('bow', 'with', 'pobj'), ('and', 'came', 'cc'), ('said', 'came', 'conj'), ('...', 'waiting', 'punct')]",16,"{'She': 0, 'was': 0, 'waiting': 5, 'in': 0, 'the': 0, 'corner': 1, 'until': 0, 'a': 0, 'woman': 1, 'came': 6, 'with': 1, 'bow': 1, 'and': 0, 'said': 0, '...': 0}","{'came': 6, 'waiting': 5, 'was': 0, 'woman': 1}",{'woman': 1},0.1109506751538267,2,-0.0087802545553708,3
8,. Otworzyły się drzwi i,weszła[wejść:praet:sg:f:perf]kobieta[kobieta:subst:sg:nom:f],"niemłoda, skromnie ubrana,",". Otworzyły się drzwi i weszła kobieta niemłoda, skromnie ubrana,","Otworzyły się drzwi i weszła kobieta niemłoda, skromnie ubrana.","[('Otworzyły', 'Otworzyły', 'ROOT'), ('się', 'Otworzyły', 'expl:pv'), ('drzwi', 'Otworzyły', 'nsubj'), ('i', 'weszła', 'cc'), ('weszła', 'Otworzyły', 'conj'), ('kobieta', 'weszła', 'nsubj'), ('niemłoda', 'kobieta', 'nmod'), (',', 'ubrana', 'punct'), ('skromnie', 'ubrana', 'advmod'), ('ubrana', 'kobieta', 'acl'), ('.', 'Otworzyły', 'punct')]",9,"('weszła', 'kobieta')","('[wejść:praet:sg:f:perf]', '[kobieta:subst:sg:nom:f]')","{'Otworzyły': 4, 'się': 0, 'drzwi': 0, 'i': 0, 'weszła': 2, 'kobieta': 2, 'niemłoda': 0, ',': 0, 'skromnie': 0, 'ubrana': 2, '.': 0}","({weszła: 2, kobieta: 2})",0.2266998558346992,1,-201.4984998485517,9.0,"The door opened and an elderly woman, modestly dressed, entered.","[('The', 'door', 'det'), ('door', 'opened', 'nsubj'), ('opened', 'opened', 'ROOT'), ('and', 'opened', 'cc'), ('an', 'woman', 'det'), ('elderly', 'woman', 'amod'), ('woman', 'opened', 'conj'), (',', 'woman', 'punct'), ('modestly', 'dressed', 'advmod'), ('dressed', 'woman', 'acl'), (',', 'woman', 'punct'), ('entered', 'woman', 'acl'), ('.', 'opened', 'punct')]",10,"{'The': 0, 'door': 1, 'opened': 4, 'and': 0, 'an': 0, 'elderly': 0, 'woman': 6, ',': 0, 'modestly': 0, 'dressed': 1, 'entered': 0, '.': 0}","{'entered': 0, 'opened': 4, 'woman': 6}",{'woman': 6},0.823509640548808,3,0.0,4
9,Skrzypnęły drzwi i do pokoju,weszła[wejść:praet:sg:f:perf]kobieta[kobieta:subst:sg:nom:f],. Podeszła do leżącej i,Skrzypnęły drzwi i do pokoju weszła kobieta . Podeszła do leżącej i,Skrzypnęły drzwi i do pokoju weszła kobieta.,"[('Skrzypnęły', 'Skrzypnęły', 'ROOT'), ('drzwi', 'Skrzypnęły', 'nsubj'), ('i', 'weszła', 'cc'), ('do', 'pokoju', 'case'), ('pokoju', 'weszła', 'obl'), ('weszła', 'Skrzypnęły', 'conj'), ('kobieta', 'weszła', 'nsubj'), ('.', 'Skrzypnęły', 'punct')]",7,"('weszła', 'kobieta')","('[wejść:praet:sg:f:perf]', '[kobieta:subst:sg:nom:f]')","{'Skrzypnęły': 3, 'drzwi': 0, 'i': 0, 'do': 0, 'pokoju': 1, 'weszła': 3, 'kobieta': 0, '.': 0}","({weszła: 3, kobieta: 0})",1.0200297909513412,4,-11541.821221021411,9.0,The door creaked and a woman entered the room.,"[('The', 'door', 'det'), ('door', 'creaked', 'nsubj'), ('creaked', 'creaked', 'ROOT'), ('and', 'creaked', 'cc'), ('a', 'woman', 'det'), ('woman', 'entered', 'nsubj'), ('entered', 'creaked', 'conj'), ('the', 'room', 'det'), ('room', 'entered', 'dobj'), ('.', 'entered', 'punct')]",9,"{'The': 0, 'door': 1, 'creaked': 3, 'and': 0, 'a': 0, 'woman': 1, 'entered': 3, 'the': 0, 'room': 1, '.': 0}","{'creaked': 3, 'entered': 3, 'woman': 1}",{'woman': 1},0.0935018280455474,2,-1.2262236410040346,3
