Source File,Left Context,Match,Right Context,Merged Context,Edited Sentence,Selected
export (1).html,. A potem do pokoju,weszła[wejść:praet:sg:f:perf]kobieta[kobieta:subst:sg:nom:f],", którą Zuzanna już znała",". A potem do pokoju weszła kobieta , którą Zuzanna już znała","A potem do pokoju weszła kobieta , którą Zuzanna już znała.",True
export (1).html,"w kącie, aż tu",weszła[wejść:praet:sg:f:perf]kobieta[kobieta:subst:sg:nom:f],z ukłonem i mówi:,"w kącie, aż tu weszła kobieta z ukłonem i mówi:",Weszła kobieta z ukłonem i mówi...,True
export (1).html,. Zza bocznych drzwi zaraz,weszła[wejść:praet:sg:f:perf]kobieta[kobieta:subst:sg:nom:f],"na wysokim obcasie, niosąc",". Zza bocznych drzwi zaraz weszła kobieta na wysokim obcasie, niosąc","Zza bocznych drzwi zaraz weszła kobieta na wysokim obcasie,",True
export (1).html,stronę drzwi. Do komnaty,weszła[wejść:praet:sg:f:perf]kobieta[kobieta:subst:sg:nom:f],"w fioletowej sukni, połyskującej","stronę drzwi. Do komnaty weszła kobieta w fioletowej sukni, połyskującej",Do komnaty weszła kobieta w fioletowej sukni.,True
export (1).html,"szepnąć, ale do kantoru",weszła[wejść:praet:sg:f:perf]kobieta[kobieta:subst:sg:nom:f],", czworo dzieci wpychając przed","szepnąć, ale do kantoru weszła kobieta , czworo dzieci wpychając przed","Do kantoru weszła kobieta , czworo dzieci wpychając przed sobą.",True
export (1).html,na schodach. Do pokoju,weszła[wejść:praet:sg:f:perf]kobieta[kobieta:subst:sg:nom:f],"o białych włosach, w","na schodach. Do pokoju weszła kobieta o białych włosach, w",Do pokoju weszła kobieta o białych włosach.,True
export (1).html,. Otworzyły się drzwi i,weszła[wejść:praet:sg:f:perf]kobieta[kobieta:subst:sg:nom:f],"niemłoda, skromnie ubrana,",". Otworzyły się drzwi i weszła kobieta niemłoda, skromnie ubrana,","Otworzyły się drzwi i weszła kobieta niemłoda, skromnie ubrana.",True
export (1).html,Skrzypnęły drzwi i do pokoju,weszła[wejść:praet:sg:f:perf]kobieta[kobieta:subst:sg:nom:f],. Podeszła do leżącej i,Skrzypnęły drzwi i do pokoju weszła kobieta . Podeszła do leżącej i,Skrzypnęły drzwi i do pokoju weszła kobieta.,True
export (1).html,z przyzwyczajenia. Do pokoju,weszła[wejść:praet:sg:f:perf]kobieta[kobieta:subst:sg:nom:f],", na oko lekko po","z przyzwyczajenia. Do pokoju weszła kobieta , na oko lekko po","Do pokoju weszła kobieta , na oko lekko po trzydziestce.",True
export (1).html,! Któregoś dnia do piwnicy,weszła[wejść:praet:sg:f:perf]kobieta[kobieta:subst:sg:nom:f],. Poznałam po zapachu,! Któregoś dnia do piwnicy weszła kobieta . Poznałam po zapachu,Któregoś dnia do piwnicy weszła kobieta.,True
export (1).html,ogólnemu zadowoleniu. Po chwili,weszła[wejść:praet:sg:f:perf]kobieta[kobieta:subst:sg:nom:f],", żeby prosić o zaświadczenie","ogólnemu zadowoleniu. Po chwili weszła kobieta , żeby prosić o zaświadczenie","Po chwili weszła kobieta , żeby prosić o zaświadczenie.",True
export (1).html,środę rano do mojego biura,weszła[wejść:praet:sg:f:perf]kobieta[kobieta:subst:sg:nom:f],", która wyglądała jak moje","środę rano do mojego biura weszła kobieta , która wyglądała jak moje","W środę rano do mojego biura weszła kobieta, która wyglądała jak moje lustrzane odbicie.",True
export (1).html,wyreżyserowali akcję. Do sklepu,weszła[wejść:praet:sg:f:perf]kobieta[kobieta:subst:sg:nom:f],podająca się za przedstawicielkę jednej,wyreżyserowali akcję. Do sklepu weszła kobieta podająca się za przedstawicielkę jednej,Do sklepu weszła kobieta podająca się za przedstawicielkę jednej firmy. ,True
export (1).html,chwili słabości. Do domu,weszła[wejść:praet:sg:f:perf]kobieta[kobieta:subst:sg:nom:f],znająca rosyjski. Żołnierz zbudził,chwili słabości. Do domu weszła kobieta znająca rosyjski. Żołnierz zbudził,Do domu weszła kobieta znająca rosyjski.,True
export (1).html,mężczyzny przy ul. Dalekiej,weszła[wejść:praet:sg:f:perf]kobieta[kobieta:subst:sg:nom:f],i mężczyzna podający się za,mężczyzny przy ul. Dalekiej weszła kobieta i mężczyzna podający się za,Do mężczyzny przy ul. Dalekiej weszła kobieta i mężczyzna podający się za urzędników,True
export (1).html,. Do jednego z domów,weszła[wejść:praet:sg:f:perf]kobieta[kobieta:subst:sg:nom:f],. Zaoferowała do sprzedaży haftowane,. Do jednego z domów weszła kobieta . Zaoferowała do sprzedaży haftowane,. Do jednego z domów weszła kobieta . Zaoferowała do sprzedaży haftowane,True
export (10).html,"zdumieniem więc odkryła, iż",przesyłka[przesyłka:subst:sg:nom:f]nadeszła[nadejść:praet:sg:f:perf],z Polski. Bez trudu,"zdumieniem więc odkryła, iż przesyłka nadeszła z Polski. Bez trudu","zdumieniem więc odkryła, iż przesyłka nadeszła z Polski. Bez trudu",True
export (10).html,ze swoją książką. Jej,przesyłka[przesyłka:subst:sg:nom:f]nadeszła[nadejść:praet:sg:f:perf],tego samego dnia co filozoficzno,ze swoją książką. Jej przesyłka nadeszła tego samego dnia co filozoficzno,ze swoją książką. Jej przesyłka nadeszła tego samego dnia co filozoficzno,True
export (10).html,W określonym w ogłoszeniu terminie,przesyłka[przesyłka:subst:sg:nom:f]nadeszła[nadejść:praet:sg:f:perf],pocztą. Nie było w,W określonym w ogłoszeniu terminie przesyłka nadeszła pocztą. Nie było w,W określonym w ogłoszeniu terminie przesyłka nadeszła pocztą. Nie było w,True
export (10).html,wydania. 2. Jeżeli,przesyłka[przesyłka:subst:sg:nom:f]nadeszła[nadejść:praet:sg:f:perf],do miejsca przeznaczenia w pojemniku,wydania. 2. Jeżeli przesyłka nadeszła do miejsca przeznaczenia w pojemniku,wydania. 2. Jeżeli przesyłka nadeszła do miejsca przeznaczenia w pojemniku,True
export (11).html,"Lasota, Nawet na Czeszkę",naszła[najść:praet:sg:f:perf]ochota[ochota:subst:sg:nom:f],". I - hej,","Lasota, Nawet na Czeszkę naszła ochota . I - hej,","Lasota, Nawet na Czeszkę naszła ochota . I - hej,",True
export (11).html,"całego, bo taka ich",naszła[najść:praet:sg:f:perf]ochota[ochota:subst:sg:nom:f],. W słabo ogrzewanych mieszkaniach,"całego, bo taka ich naszła ochota . W słabo ogrzewanych mieszkaniach","całego, bo taka ich naszła ochota . W słabo ogrzewanych mieszkaniach",True
export (11).html,", żeby w połowie dnia",naszła[najść:praet:sg:f:perf]ochota[ochota:subst:sg:nom:f],na drzemkę. I żeby,", żeby w połowie dnia naszła ochota na drzemkę. I żeby",", żeby w połowie dnia naszła ochota na drzemkę. I żeby",True
export (11).html,oparł i przez skojarzenie go,naszła[najść:praet:sg:f:perf]ochota[ochota:subst:sg:nom:f],", ażeby ten dyszel pociągnąć","oparł i przez skojarzenie go naszła ochota , ażeby ten dyszel pociągnąć","oparł i przez skojarzenie go naszła ochota , ażeby ten dyszel pociągnąć",True
